Year,Month,name,category,value
2013,July,HiSeq 2500,Illumina HiSeq 2000,0.050521348
2013,July,MiSeq,Illumina MiSeq,0.000711809
2013,April,MiSeq,Illumina MiSeq,0.001193202
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.0471236
2013,January,HiSeq 2000 V3,Illumina HiSeq 2000,0.331752523
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.075909705
2013,July,MiSeq,Illumina MiSeq,0.004110323
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.06415733
2013,June,MiSeq,Illumina MiSeq,0.002544203
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.268740106
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.338244547
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.038376248
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.030912004
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.050358497
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048318707
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.043551445
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.039792225
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.033376871
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.030239585
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.080728427
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.039148543
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.063983887
2013,April,HiSeq 2000 V3,Illumina HiSeq 2000,0.253467428
2013,November,HiSeq 2500,Illumina HiSeq 2500,0.046768307
2013,November,MiSeq,Illumina MiSeq,0
2013,November,MiSeq,Illumina MiSeq,0
2013,November,MiSeq,Illumina MiSeq,0
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.046417815
2013,March,HiSeq 2500,Illumina HiSeq 2000,0.039990328
2013,January,MiSeq,Illumina MiSeq,0.005052687
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.052956777
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.250531809
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.001802125
2013,January,MiSeq,Illumina MiSeq,0.002842181
2013,February,HiSeq 2000 V3,Illumina HiSeq 2000,0.184112686
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.051523798
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.047270923
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.054783779
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.0392249
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.04579154
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.041935442
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.041503217
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049992462
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045645508
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.051590512
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.042528396
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049566907
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048721589
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048295186
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.047861812
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045227951
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049200221
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.036160748
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.023705721
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048289873
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048199763
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048405255
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.142556442
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.038324038
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.032070827
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.034555569
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.04371389
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.041713685
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.034187574
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.039695255
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.028940551
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045985776
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043300704
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.039818484
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048568285
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.036530379
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043769036
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045768364
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043374991
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045484137
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.299791278
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.186964141
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.411803317
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.306425775
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.040603629
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043478053
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.036149587
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.040000251
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045107784
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.042049213
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.042551314
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.040420949
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.039492637
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.044672509
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.040165721
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.030689313
2013,September,MiSeq,Illumina MiSeq,0
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.053978542
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.01834733
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.040000898
2013,January,MiSeq,Illumina MiSeq,0.002237987
2013,July,HiSeq 2500,Illumina HiSeq 2000,0.042326603
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.034675557
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.031900395
2013,April,HiSeq 2500,Illumina HiSeq 2000,0.033953233
2013,August,HiSeq 2500,Illumina HiSeq 2000,0.031738971
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.03563036
2013,April,HiSeq 2500,Illumina HiSeq 2000,0.023097485
2013,June,HiSeq 2500,Illumina HiSeq 2500,0.042884339
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.040332962
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.042295527
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.040830756
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.037406578
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.043031321
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.04513825
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.044716441
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.04377456
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.050182605
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.051142205
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.052227203
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.041304944
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.051319599
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.048449585
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.011255785
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.01018043
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.046362763
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.04890866
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.045489992
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.0501817
2014,February,MiSeq,Illumina MiSeq,0
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.052883238
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.041879561
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.047973406
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.057433886
2014,February,HiSeq 2000E,Illumina HiSeq 2000,0.306666286
2014,February,MiSeq,Illumina MiSeq,0.0039296
2014,February,MiSeq,Illumina MiSeq,0
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.036248472
2013,February,MiSeq,Illumina MiSeq,0.002327186
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.041067193
2013,March,HiSeq 2000 V3,Illumina HiSeq 2000,0.190858523
2013,August,HiSeq 2500,Illumina HiSeq 2000,0.051728452
2013,January,HiSeq 2000 V3,Illumina HiSeq 2000,0.316424645
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.054201402
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.031901486
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.053945805
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.035254893
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.369954401
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.398680264
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.275969465
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.041457729
2013,October,MiSeq,Illumina MiSeq,0.000620178
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.037240055
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.046455773
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.274045536
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.051090181
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.371755907
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.321715047
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.050974856
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.052657023
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.339412921
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.014422422
2013,October,MiSeq,Illumina MiSeq,0.003736101
2013,October,MiSeq,Illumina MiSeq,0
2013,October,MiSeq,Illumina MiSeq,0
2013,October,MiSeq,Illumina MiSeq,0
2013,October,MiSeq,Illumina MiSeq,0
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.354709415
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.352236201
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.340963839
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.332489962
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.367162417
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.346972509
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.055297288
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.05505653
2013,October,MiSeq,Illumina MiSeq,0.002501623
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.373510911
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.232119959
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.343982538
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.372803349
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.232423842
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.267470678
2013,October,MiSeq,Illumina MiSeq,0.00082811
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.360199802
2013,November,HiSeq 2000E,Illumina HiSeq 2000,0.334410459
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.044345171
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.261285548
2013,November,MiSeq,Illumina MiSeq,8.81E-07
2013,November,MiSeq,Illumina MiSeq,0.005110641
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.042825277
2013,April,HiSeq 2000 V3,Illumina HiSeq 2000,0.240531718
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043187017
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.041087451
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.035419551
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.043174163
2013,April,MiSeq,Illumina MiSeq,0.000398657
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.054801588
2013,March,HiSeq 2000 V3,Illumina HiSeq 2000,0.123901133
2013,August,HiSeq 2500,Illumina HiSeq 2000,0.021806643
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.051017599
2013,August,HiSeq 2000 V3,Illumina HiSeq 2000,0.281264728
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.298429271
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.27517228
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.244899719
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.273680815
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.245451106
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.268528227
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.281136185
2013,December,HiSeq 2000E,Illumina HiSeq 2000,0.28217428
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.037088398
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.048545747
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.035210658
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.049489039
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.054813181
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.046729602
2013,December,HiSeq 2500,Illumina HiSeq 2500,0.052033935
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
